farm_id,room_id,date,week,day_of_week,age_days,birds_start,mortality_daily,birds_end,cumulative_mortality,avg_weight_kg,daily_gain_kg,feed_kg_total,feed_kg_per_bird,water_liters_total,eggs_produced,avg_egg_weight_g,egg_grade_A_pct,temperature_c,humidity_pct,stress_index,feed_price_per_kg_usd,feed_cost_usd,med_cost_usd,energy_cost_usd,labor_cost_usd,other_costs_usd,total_costs_usd,egg_price_per_dozen_usd,egg_revenue_usd,profit_usd,fcr
FARM_V2,R01,2025-12-12,5,6,33,964,2,962,38,1.258,0.032,96.296,0.0999,238.108,0,0.0,0.0,22.4,60.1,0.0,0.445,42.81,2.73,4.61,7.8,1.69,59.64,2.89,0.0,-59.64,3.122
FARM_V2,R01,2025-12-13,5,7,34,962,1,961,39,1.297,0.038,95.087,0.0988,231.842,0,0.0,0.0,22.1,61.9,0.0,0.451,42.92,2.32,4.27,8.2,1.59,59.3,3.08,0.0,-59.3,2.601
FARM_V2,R01,2025-12-14,6,1,35,961,0,961,39,1.348,0.05,107.344,0.1117,246.016,0,0.0,0.0,22.1,65.1,0.0,0.45,48.31,1.92,4.34,7.8,2.97,65.34,3.18,0.0,-65.34,2.234
FARM_V2,R01,2025-12-15,6,2,36,961,2,959,41,1.389,0.046,102.867,0.107,222.952,0,0.0,0.0,21.7,60.1,0.0,0.431,44.3,2.72,4.53,8.25,1.58,61.38,2.97,0.0,-61.38,2.327
FARM_V2,R01,2025-12-16,6,3,37,959,0,959,41,1.447,0.055,115.301,0.1202,235.914,0,0.0,0.0,23.3,67.1,0.0,0.443,51.04,1.92,4.59,7.73,2.39,67.67,3.36,0.0,-67.67,2.186
FARM_V2,R01,2025-12-17,6,4,38,959,1,958,42,1.491,0.047,119.986,0.1251,221.529,0,0.0,0.0,23.2,67.7,0.0,0.445,53.4,2.32,4.88,8.38,2.16,71.14,2.94,0.0,-71.14,2.662
FARM_V2,R01,2025-12-18,6,5,39,958,1,957,43,1.545,0.045,119.817,0.1251,216.508,0,0.0,0.0,23.7,63.2,0.0,0.447,53.59,2.32,4.57,8.07,2.89,71.44,2.92,0.0,-71.44,2.779
FARM_V2,R01,2025-12-19,6,6,40,957,2,955,45,1.605,0.047,118.08,0.1234,222.981,0,0.0,0.0,22.4,63.4,0.0,0.453,53.49,2.71,4.29,8.38,2.64,71.51,3.39,0.0,-71.51,2.625
FARM_V2,R01,2025-12-20,6,7,41,955,2,953,47,1.672,0.054,123.826,0.1297,285.545,0,0.0,0.0,22.1,65.6,0.0,0.441,54.55,2.71,5.17,8.23,2.99,73.65,2.92,0.0,-73.65,2.401
FARM_V2,R01,2025-12-21,7,1,42,953,1,952,48,1.756,0.076,126.381,0.1326,269.699,0,0.0,0.0,21.6,68.4,0.0,0.451,56.98,2.31,4.4,7.68,1.91,73.28,3.33,0.0,-73.28,1.745
FARM_V2,R01,2025-12-22,7,2,43,952,1,951,49,1.799,0.057,132.323,0.139,248.472,0,0.0,0.0,22.7,67.2,0.0,0.453,59.88,2.3,5.14,7.86,1.98,77.16,3.41,0.0,-77.16,2.439
FARM_V2,R01,2025-12-23,7,3,44,951,0,951,49,1.856,0.052,132.787,0.1396,247.26,0,0.0,0.0,22.9,64.7,0.0,0.456,60.53,1.9,4.71,7.76,3.19,78.09,2.97,0.0,-78.09,2.685
FARM_V2,R01,2025-12-24,7,4,45,951,1,950,50,1.918,0.052,140.339,0.1476,261.525,0,0.0,0.0,23.1,65.5,0.0,0.441,61.93,2.3,4.5,7.72,1.88,78.33,3.34,0.0,-78.33,2.838
FARM_V2,R01,2025-12-25,7,5,46,950,1,949,51,1.978,0.052,156.268,0.1645,337.25,0,0.0,0.0,24.2,60.6,0.009,0.448,70.01,2.3,4.57,8.1,2.46,87.44,3.26,0.0,-87.44,3.163
FARM_V2,R01,2025-12-26,7,6,47,949,2,947,53,2.021,0.037,144.938,0.1527,300.833,0,0.0,0.0,23.3,65.8,0.0,0.452,65.49,2.7,4.52,8.08,2.96,83.75,3.26,0.0,-83.75,4.128
FARM_V2,R01,2025-12-27,7,7,48,947,2,945,55,2.108,0.068,162.011,0.1711,315.351,0,0.0,0.0,22.1,60.6,0.0,0.439,71.11,2.69,5.17,7.67,3.23,89.87,3.3,0.0,-89.87,2.516
FARM_V2,R01,2025-12-28,8,1,49,945,1,944,56,2.154,0.062,170.926,0.1809,323.19,0,0.0,0.0,22.3,60.5,0.0,0.442,75.49,2.29,5.15,7.83,2.37,93.13,3.01,0.0,-93.13,2.917
FARM_V2,R01,2025-12-29,8,2,50,944,0,944,56,2.202,0.061,168.634,0.1786,328.512,0,0.0,0.0,22.4,66.3,0.0,0.447,75.44,1.89,4.77,7.99,2.12,92.21,3.25,0.0,-92.21,2.928
FARM_V2,R01,2025-12-30,8,3,51,944,1,943,57,2.238,0.052,168.157,0.1781,324.736,0,0.0,0.0,22.4,60.3,0.0,0.46,77.37,2.29,5.23,7.63,2.5,95.02,3.22,0.0,-95.02,3.426
FARM_V2,R01,2025-12-31,8,4,52,943,2,941,59,2.277,0.052,169.546,0.1798,422.464,0,0.0,0.0,22.6,61.6,0.0,0.443,75.14,2.69,4.54,8.06,2.12,92.55,3.32,0.0,-92.55,3.458
FARM_V2,R01,2026-01-01,8,5,53,941,0,941,59,2.3,0.042,168.42,0.179,371.695,0,0.0,0.0,24.0,68.1,0.0,0.458,77.07,1.88,4.37,7.81,3.21,94.34,2.98,0.0,-94.34,4.261
FARM_V2,R01,2026-01-02,8,6,54,941,0,941,59,2.286,0.0,175.048,0.186,352.875,0,0.0,0.0,24.2,66.0,0.009,0.465,81.47,1.88,5.31,8.12,2.8,99.58,3.47,0.0,-99.58,0.0
FARM_V2,R01,2026-01-03,8,7,55,941,0,941,59,2.296,-0.01,175.761,0.1868,320.881,0,0.0,0.0,23.7,62.0,0.0,0.464,81.48,1.88,4.51,7.81,3.64,99.32,3.34,0.0,-99.32,0.0
FARM_V2,R01,2026-01-04,9,1,56,941,1,940,60,2.338,0.02,179.849,0.1911,398.043,0,0.0,0.0,24.6,68.7,0.028,0.448,80.52,2.28,4.43,8.02,2.22,97.47,3.18,0.0,-97.47,9.556
FARM_V2,R01,2026-01-05,9,2,57,940,4,936,64,2.303,-0.02,168.492,0.1792,344.04,0,0.0,0.0,24.2,64.8,0.009,0.468,78.92,8.58,4.53,7.76,3.72,103.51,3.02,0.0,-103.51,0.0
FARM_V2,R01,2026-01-06,9,3,58,936,0,936,64,2.345,0.021,175.331,0.1873,435.24,0,0.0,0.0,22.7,60.7,0.0,0.47,82.4,1.87,5.02,8.25,3.47,101.01,3.45,0.0,-101.01,8.92
FARM_V2,R01,2026-01-07,9,4,59,936,0,936,64,2.354,0.027,172.776,0.1846,409.968,0,0.0,0.0,22.3,60.3,0.0,0.458,79.13,1.87,5.27,8.31,3.53,98.11,3.37,0.0,-98.11,6.837
FARM_V2,R01,2026-01-08,9,5,60,936,0,936,64,2.338,0.007,165.163,0.1765,315.432,0,0.0,0.0,22.5,68.7,0.0,0.467,77.13,1.87,4.67,8.26,3.27,95.2,3.2,0.0,-95.2,25.208
FARM_V2,R01,2026-01-09,9,6,61,936,2,934,66,2.349,0.011,176.51,0.1886,398.736,0,0.0,0.0,23.5,60.2,0.0,0.447,78.88,2.67,5.12,7.93,2.97,97.57,3.13,0.0,-97.57,17.144
FARM_V2,R01,2026-01-10,9,7,62,934,0,934,66,2.342,-0.004,166.3,0.1781,411.894,0,0.0,0.0,24.4,61.2,0.019,0.45,74.82,1.87,4.55,8.05,3.1,92.39,3.21,0.0,-92.39,0.0
FARM_V2,R01,2026-01-11,10,1,63,934,0,934,66,2.348,-0.008,182.222,0.1951,432.442,0,0.0,0.0,24.1,68.4,0.005,0.463,84.35,1.87,4.89,8.26,3.46,102.83,3.38,0.0,-102.83,0.0
FARM_V2,R01,2026-01-12,10,2,64,934,1,933,67,2.388,0.02,173.655,0.1859,424.036,0,0.0,0.0,22.8,62.4,0.0,0.465,80.78,2.27,4.5,8.34,2.68,98.57,3.36,0.0,-98.57,9.296
FARM_V2,R01,2026-01-13,10,3,65,933,0,933,67,2.411,0.03,171.295,0.1836,395.592,0,0.0,0.0,22.9,61.2,0.0,0.458,78.46,1.87,5.14,7.63,2.22,95.32,3.01,0.0,-95.32,6.12
FARM_V2,R01,2026-01-14,10,4,66,933,2,931,69,2.389,-0.007,188.071,0.2016,343.344,0,0.0,0.0,23.4,63.4,0.0,0.474,89.05,2.67,4.84,8.4,2.73,107.69,3.16,0.0,-107.69,0.0
FARM_V2,R01,2026-01-15,10,5,67,931,2,929,71,2.432,0.02,174.78,0.1877,356.573,0,0.0,0.0,22.9,61.2,0.0,0.462,80.76,2.66,4.56,7.78,3.6,99.36,3.51,0.0,-99.36,9.387
FARM_V2,R01,2026-01-16,10,6,68,929,0,929,71,2.465,0.036,186.157,0.2004,401.328,0,0.0,0.0,23.2,67.3,0.0,0.45,83.83,1.86,5.38,8.0,2.25,101.32,3.44,0.0,-101.32,5.566
FARM_V2,R01,2026-01-17,10,7,69,929,1,928,72,2.459,0.012,178.738,0.1924,389.251,0,0.0,0.0,25.2,69.5,0.056,0.473,84.58,2.26,4.85,8.08,2.88,102.65,3.08,0.0,-102.65,16.033
FARM_V2,R01,2026-01-18,11,1,70,928,0,928,72,2.473,0.006,180.5,0.1945,440.8,0,0.0,0.0,24.8,66.5,0.037,0.46,83.03,1.86,5.13,7.87,3.09,100.98,3.07,0.0,-100.98,32.417
FARM_V2,R01,2026-01-19,11,2,71,928,0,928,72,2.522,0.034,193.094,0.2081,359.136,0,0.0,0.0,24.1,63.4,0.005,0.468,90.36,1.86,4.48,8.11,3.52,108.33,3.54,0.0,-108.33,6.12
FARM_V2,R01,2026-01-20,11,3,72,928,0,928,72,2.528,0.019,183.974,0.1982,388.832,0,0.0,0.0,23.1,64.9,0.0,0.476,87.54,1.86,5.27,8.38,3.51,106.56,3.49,0.0,-106.56,10.434
FARM_V2,R01,2026-01-21,11,4,73,928,3,925,75,2.577,0.045,186.383,0.2008,421.312,0,0.0,0.0,24.1,61.2,0.005,0.453,84.49,3.06,4.64,8.25,3.26,103.7,3.17,0.0,-103.7,4.463
FARM_V2,R01,2026-01-22,11,5,74,925,0,925,75,2.558,0.003,177.961,0.1924,437.525,0,0.0,0.0,23.1,68.4,0.0,0.458,81.58,1.85,4.68,8.34,2.64,99.09,3.05,0.0,-99.09,64.13
FARM_V2,R01,2026-01-23,11,6,75,925,1,924,76,2.625,0.045,185.343,0.2004,401.45,0,0.0,0.0,24.1,68.9,0.005,0.458,84.85,2.25,4.5,8.21,3.3,103.11,3.42,0.0,-103.11,4.453
FARM_V2,R01,2026-01-24,11,7,76,924,0,924,76,2.643,0.038,194.224,0.2102,475.86,0,0.0,0.0,25.4,72.3,0.083,0.475,92.17,1.85,4.69,7.82,3.74,110.27,3.55,0.0,-110.27,5.532
FARM_V2,R01,2026-01-25,12,1,77,924,0,924,76,2.639,0.009,202.559,0.2192,418.572,0,0.0,0.0,22.8,62.0,0.0,0.463,93.85,1.85,5.36,8.1,2.87,112.03,3.43,0.0,-112.03,24.358
FARM_V2,R01,2026-01-26,12,2,78,924,0,924,76,2.71,0.053,188.7,0.2042,468.468,0,0.0,0.0,24.5,63.0,0.023,0.466,87.88,1.85,5.01,8.04,3.02,105.8,3.5,0.0,-105.8,3.853
FARM_V2,R01,2026-01-27,12,3,79,924,1,923,77,2.694,0.011,197.799,0.2141,460.152,0,0.0,0.0,24.1,71.7,0.017,0.476,94.2,2.25,5.41,7.72,2.54,112.12,3.06,0.0,-112.12,19.461
FARM_V2,R01,2026-01-28,12,4,80,923,1,922,78,2.714,0.003,196.364,0.2127,386.737,0,0.0,0.0,24.7,64.5,0.033,0.46,90.29,2.25,4.68,8.22,3.45,108.89,3.39,0.0,-108.89,70.915
FARM_V2,R01,2026-01-29,12,5,81,922,1,921,79,2.756,0.018,200.127,0.2171,462.844,0,0.0,0.0,23.5,70.2,0.002,0.472,94.42,2.24,4.54,7.75,3.05,112.0,3.3,0.0,-112.0,12.059
FARM_V2,R01,2026-01-30,12,6,82,921,0,921,79,2.807,0.041,201.276,0.2185,415.371,0,0.0,0.0,24.6,71.3,0.038,0.462,92.9,1.84,5.05,8.18,3.06,111.03,3.24,0.0,-111.03,5.33
FARM_V2,R01,2026-01-31,12,7,83,921,1,920,80,2.85,0.056,211.143,0.2293,517.602,0,0.0,0.0,24.0,70.2,0.002,0.483,102.01,2.24,5.07,7.67,2.91,119.9,3.04,0.0,-119.9,4.094
FARM_V2,R01,2026-02-01,13,1,84,920,0,920,80,2.852,0.03,210.249,0.2285,435.16,0,0.0,0.0,24.2,61.1,0.009,0.465,97.75,1.84,5.39,7.6,2.76,115.34,3.38,0.0,-115.34,7.618
FARM_V2,R01,2026-02-02,13,2,85,920,0,920,80,2.863,0.012,205.238,0.2231,387.32,0,0.0,0.0,22.9,66.1,0.0,0.474,97.35,1.84,4.93,8.4,2.69,115.21,3.36,0.0,-115.21,18.59
FARM_V2,R01,2026-02-03,13,3,86,920,2,918,82,2.9,0.021,201.696,0.2192,467.36,0,0.0,0.0,25.6,66.5,0.075,0.472,95.15,2.64,5.16,8.13,3.88,114.96,3.3,0.0,-114.96,10.44
FARM_V2,R01,2026-02-04,13,4,87,918,1,917,83,2.909,0.002,218.02,0.2375,419.526,0,0.0,0.0,24.5,66.1,0.023,0.461,100.53,2.24,5.26,8.15,3.85,120.03,3.45,0.0,-120.03,118.747
FARM_V2,R01,2026-02-05,13,5,88,917,0,917,83,2.963,0.028,211.975,0.2312,397.061,0,0.0,0.0,25.6,64.8,0.075,0.461,97.67,1.83,5.1,7.65,3.8,116.05,3.11,0.0,-116.05,8.256
FARM_V2,R01,2026-02-06,13,6,89,917,2,915,85,2.971,0.008,206.414,0.2251,411.733,0,0.0,0.0,24.7,64.1,0.033,0.467,96.39,2.63,5.43,8.08,3.77,116.3,3.35,0.0,-116.3,28.137
FARM_V2,R01,2026-02-07,13,7,90,915,2,913,87,3.04,0.05,227.815,0.249,474.885,0,0.0,0.0,22.9,66.3,0.0,0.468,106.62,2.63,5.48,8.15,3.28,126.16,3.52,0.0,-126.16,4.98
FARM_V2,R01,2026-02-08,14,1,91,913,2,911,89,3.046,0.028,226.662,0.2483,430.023,0,0.0,0.0,25.0,63.2,0.047,0.462,104.64,2.63,4.68,8.29,3.29,123.53,3.39,0.0,-123.53,8.866
FARM_V2,R01,2026-02-09,14,2,92,911,2,909,91,3.046,0.002,221.885,0.2436,493.762,0,0.0,0.0,24.5,65.3,0.023,0.48,106.59,2.62,5.29,8.18,3.3,125.98,3.18,0.0,-125.98,121.781
FARM_V2,R01,2026-02-10,14,3,93,909,0,909,91,3.125,0.054,231.186,0.2543,501.768,0,0.0,0.0,25.6,71.8,0.088,0.484,111.9,1.82,4.69,8.24,3.67,130.32,3.48,0.0,-130.32,4.71
FARM_V2,R01,2026-02-11,14,4,94,909,1,908,92,3.104,0.008,220.222,0.2423,415.413,0,0.0,0.0,23.5,64.5,0.0,0.487,107.21,2.22,5.23,8.23,3.92,126.81,3.14,0.0,-126.81,30.284
FARM_V2,R01,2026-02-12,14,5,95,908,0,908,92,3.139,0.018,230.368,0.2537,513.928,0,0.0,0.0,23.2,70.6,0.004,0.481,110.87,1.82,4.91,8.35,3.46,129.41,3.37,0.0,-129.41,14.095
FARM_V2,R01,2026-02-13,14,6,96,908,2,906,94,3.193,0.047,242.178,0.2667,447.644,0,0.0,0.0,23.2,67.8,0.0,0.481,116.41,2.62,5.25,8.16,3.18,135.62,3.14,0.0,-135.62,5.675
FARM_V2,R01,2026-02-14,14,7,97,906,1,905,95,3.205,0.036,233.843,0.2581,512.796,0,0.0,0.0,25.0,70.0,0.047,0.482,112.72,2.21,5.0,7.6,2.98,130.51,3.42,0.0,-130.51,7.17
FARM_V2,R01,2026-02-15,15,1,98,905,0,905,95,3.187,-0.005,223.702,0.2472,531.235,0,0.0,0.0,24.2,60.6,0.009,0.466,104.34,1.81,5.09,8.07,3.31,122.62,3.28,0.0,-122.62,0.0
FARM_V2,R01,2026-02-16,15,2,99,905,0,905,95,3.229,0.016,235.661,0.2604,578.295,0,0.0,0.0,23.1,68.5,0.0,0.49,115.4,1.81,5.39,8.05,3.41,134.06,3.45,0.0,-134.06,16.275
FARM_V2,R01,2026-02-17,15,3,100,905,1,904,96,3.243,0.009,229.285,0.2534,489.605,0,0.0,0.0,23.5,68.5,0.0,0.476,109.08,2.21,5.12,8.08,3.74,128.23,3.42,0.0,-128.23,28.15
FARM_V2,R01,2026-02-18,15,4,101,904,1,903,97,3.298,0.044,247.911,0.2742,524.32,0,0.0,0.0,25.6,70.3,0.077,0.477,118.22,2.21,4.78,8.06,4.23,137.5,3.13,0.0,-137.5,6.233
FARM_V2,R01,2026-02-19,15,5,102,903,1,902,98,3.317,0.045,231.087,0.2559,487.62,0,0.0,0.0,24.7,66.8,0.033,0.491,113.52,2.21,5.11,8.22,3.64,132.7,3.32,0.0,-132.7,5.687
FARM_V2,R01,2026-02-20,15,6,103,902,1,901,99,3.321,0.032,227.578,0.2523,477.158,0,0.0,0.0,26.0,69.6,0.093,0.476,108.25,2.2,5.12,8.38,3.06,127.01,3.14,0.0,-127.01,7.884
FARM_V2,R01,2026-02-21,15,7,104,901,0,901,99,3.331,0.026,233.253,0.2589,465.817,0,0.0,0.0,23.2,68.4,0.0,0.487,113.7,1.8,5.2,8.02,3.51,132.23,3.44,0.0,-132.23,9.957
FARM_V2,R01,2026-02-22,16,1,105,901,2,899,101,3.351,0.031,244.134,0.271,607.274,0,0.0,0.0,25.7,60.6,0.079,0.467,113.93,2.6,4.67,8.34,3.84,133.38,3.43,0.0,-133.38,8.741
FARM_V2,R01,2026-02-23,16,2,106,899,2,897,103,3.37,0.037,241.111,0.2682,479.167,0,0.0,0.0,24.4,61.0,0.019,0.488,117.61,2.6,4.48,7.73,3.82,136.24,3.47,0.0,-136.24,7.249
FARM_V2,R01,2026-02-24,16,3,107,897,0,897,103,3.354,0.009,227.446,0.2536,511.29,0,0.0,0.0,24.7,64.1,0.033,0.484,110.19,1.79,4.72,7.95,2.94,127.59,3.07,0.0,-127.59,28.174
FARM_V2,R01,2026-02-25,16,4,108,897,1,896,104,3.38,0.025,254.023,0.2832,470.028,0,0.0,0.0,24.8,63.3,0.037,0.467,118.69,2.19,5.28,7.77,3.43,137.36,3.37,0.0,-137.36,11.328
FARM_V2,R01,2026-02-26,16,5,109,896,1,895,105,3.37,0.007,235.417,0.2627,453.376,0,0.0,0.0,26.1,64.0,0.098,0.485,114.1,2.19,4.99,8.03,3.38,132.69,3.05,0.0,-132.69,37.535
FARM_V2,R01,2026-02-27,16,6,110,895,0,895,105,3.398,0.028,233.161,0.2605,494.04,0,0.0,0.0,24.7,62.0,0.033,0.492,114.79,1.79,4.63,7.94,4.2,133.35,3.38,0.0,-133.35,9.304
FARM_V2,R01,2026-02-28,16,7,111,895,1,894,106,3.407,0.033,251.134,0.2806,546.845,0,0.0,0.0,23.6,63.4,0.0,0.468,117.61,2.19,4.43,7.6,3.05,134.88,3.29,0.0,-134.88,8.503
FARM_V2,R01,2026-03-01,17,1,112,894,0,894,106,3.386,0.009,234.319,0.2621,443.424,0,0.0,0.0,24.8,61.9,0.037,0.478,112.09,1.79,4.51,7.76,4.25,130.4,3.28,0.0,-130.4,29.122
